Title,Rating,Summary
Furiosa: A Mad Max Saga,IMDb rating: 7.9,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Kingdom of the Planet of the Apes,IMDb rating: 7.2,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
The Fall Guy,IMDb rating: 7.0,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Fallout,IMDb rating: 8.4,"In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits."
Dune: Part Two,IMDb rating: 8.6,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Atlas,IMDb rating: 5.6,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
Mad Max: Fury Road,IMDb rating: 8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
The Ministry of Ungentlemanly Warfare,IMDb rating: 6.9,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Civil War,IMDb rating: 7.3,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Game of Thrones,IMDb rating: 9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
The Rookie,IMDb rating: 8.0,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
Madame Web,IMDb rating: 3.9,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women from a deadly adversary who wants them destroyed."
The Witcher,IMDb rating: 8.0,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
Godzilla x Kong: The New Empire,IMDb rating: 6.2,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
The Boys,IMDb rating: 8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
Tires,IMDb rating: 7.5,"Will, an unqualified heir, attempts to turn his auto repair business around while enduring torment from his now-employee cousin Shane."
Boy Kills World,IMDb rating: 6.4,"A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death."
House of the Dragon,IMDb rating: 8.4,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
The Gentlemen,IMDb rating: 8.1,"When aristocratic Eddie inherits the family estate, he discovers that it's home to a huge weed empire, and its proprietors aren't going anywhere."
Deadpool & Wolverine,N/A,Wolverine is recovering from his injuries when he crosses paths with the loudmouth Deadpool. They team up to defeat a common enemy.
9-1-1,IMDb rating: 7.9,"Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking, and heart-stopping situations."
X-Men '97,IMDb rating: 8.9,"A band of mutants use their uncanny gifts to protect a world that hates and fears them; they're challenged like never before, forced to face a dangerous and unexpected new future."
Star Trek: Discovery,IMDb rating: 7.0,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien."
Trigger Warning,N/A,"A skilled Special Forces commando (Jessica Alba) takes ownership of her father's bar after he suddenly dies, and soon finds herself at odds with a violent gang running rampant in her hometown."
Dune,IMDb rating: 8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
